City;State;Date;Linke;Gruene;SPD;FDP;CDU;AfD;Others
Altona;HH;2024;14.583333300000001;29.1666667;22.9166667;4.1666666999999995;16.6666667;6.25;6.25
Bergedorf;HH;2024;8.8888889;15.555555600000002;26.666666700000004;4.4444444;28.888888899999998;15.555555600000002;0.0
EimsbÃ¼ttel;HH;2024;9.8039216;29.4117647;23.5294118;5.8823529;19.6078431;5.8823529;5.8823529
Hamburg-Mitte;HH;2024;15.6862745;21.5686275;27.450980400000002;3.9215686;15.6862745;9.8039216;5.8823529
Hamburg-Nord;HH;2024;9.756097599999999;36.5853659;4.878048799999999;9.756097599999999;24.3902439;7.3170732;7.3170732
Harburg;HH;2024;7.8431372999999995;15.6862745;29.4117647;3.9215686;23.5294118;13.725490200000001;5.8823529
Wandsbek;HH;2024;7.017543900000001;19.2982456;28.070175400000004;7.017543900000001;28.070175400000004;10.526315799999999;0.0
Altona;HH;2019;15.6862745;35.2941176;21.5686275;5.8823529;17.6470588;3.9215686;0.0
Bergedorf;HH;2019;11.1111111;22.2222222;26.666666700000004;6.6666666999999995;24.444444400000002;8.8888889;0.0
EimsbÃ¼ttel;HH;2019;9.8039216;37.254902;23.5294118;5.8823529;17.6470588;5.8823529;0.0
Hamburg-Mitte;HH;2019;15.6862745;31.372549;27.450980400000002;5.8823529;11.7647059;7.8431372999999995;0.0
Hamburg-Nord;HH;2019;9.8039216;37.254902;21.5686275;7.8431372999999995;19.6078431;3.9215686;0.0
Harburg;HH;2019;9.8039216;27.450980400000002;27.450980400000002;5.8823529;19.6078431;9.8039216;0.0
Wandsbek;HH;2019;7.017543900000001;26.315789499999998;28.070175400000004;7.017543900000001;22.8070175;8.7719298;0.0
Altona;HH;2014;13.725490200000001;23.5294118;31.372549;3.9215686;23.5294118;3.9215686;0.0
Bergedorf;HH;2014;8.8888889;13.3333333;42.2222222;0.0;31.1111111;4.4444444;0.0
EimsbÃ¼ttel;HH;2014;9.8039216;23.5294118;35.2941176;3.9215686;23.5294118;3.9215686;0.0
Hamburg-Mitte;HH;2014;13.725490200000001;19.6078431;37.254902;0.0;19.6078431;5.8823529;3.9215686
Hamburg-Nord;HH;2014;9.8039216;21.5686275;33.3333333;3.9215686;23.5294118;3.9215686;3.9215686
Harburg;HH;2014;9.8039216;13.725490200000001;39.2156863;3.9215686;27.450980400000002;5.8823529;0.0
Wandsbek;HH;2014;7.017543900000001;14.035087700000002;40.3508772;3.5087719;29.8245614;5.2631578999999995;0.0
Altona;HH;2011;9.8039216;17.6470588;43.1372549;5.8823529;23.5294118;0.0;0.0
Bergedorf;HH;2011;6.122449;8.163265299999999;51.0204082;4.0816327;28.571428599999997;0.0;2.0408163
EimsbÃ¼ttel;HH;2011;5.8823529;19.6078431;45.0980392;5.8823529;23.5294118;0.0;0.0
Hamburg-Mitte;HH;2011;9.8039216;15.6862745;49.019607799999996;3.9215686;17.6470588;0.0;3.9215686
Hamburg-Nord;HH;2011;5.8823529;17.6470588;47.0588235;5.8823529;23.5294118;0.0;0.0
Harburg;HH;2011;5.8823529;9.8039216;50.980392200000004;5.8823529;27.450980400000002;0.0;0.0
Wandsbek;HH;2011;5.2631578999999995;12.280701800000001;47.3684211;7.017543900000001;28.070175400000004;0.0;0.0
Altona;HH;2008;9.8039216;17.6470588;43.1372549;5.8823529;23.5294118;0.0;0.0
Bergedorf;HH;2008;6.122449;8.163265299999999;51.0204082;4.0816327;28.571428599999997;0.0;2.0408163
EimsbÃ¼ttel;HH;2008;5.8823529;19.6078431;45.0980392;5.8823529;23.5294118;0.0;0.0
Hamburg-Mitte;HH;2008;9.8039216;15.6862745;49.019607799999996;3.9215686;17.6470588;0.0;3.9215686
Hamburg-Nord;HH;2008;5.8823529;17.6470588;47.0588235;5.8823529;23.5294118;0.0;0.0
Harburg;HH;2008;5.8823529;9.8039216;50.980392200000004;5.8823529;27.450980400000002;0.0;0.0
Wandsbek;HH;2008;5.2631578999999995;12.280701800000001;47.3684211;7.017543900000001;28.070175400000004;0.0;0.0
Altona;HH;2004;0.0;18.421052600000003;31.5789474;0.0;50.0;0.0;0.0
Bergedorf;HH;2004;0.0;9.756097599999999;36.5853659;0.0;53.6585366;0.0;0.0
EimsbÃ¼ttel;HH;2004;0.0;20.0;32.5;0.0;47.5;0.0;0.0
Hamburg-Mitte;HH;2004;0.0;17.073170700000002;39.0243902;0.0;43.902439;0.0;0.0
Hamburg-Nord;HH;2004;0.0;19.5121951;34.1463415;0.0;46.3414634;0.0;0.0
Harburg;HH;2004;0.0;9.756097599999999;36.5853659;0.0;48.7804878;0.0;4.878048799999999
Wandsbek;HH;2004;0.0;12.195122;31.707317099999997;0.0;56.097561;0.0;0.0
Altona;HH;2001;0.0;15.384615400000001;35.897435900000005;0.0;30.769230800000003;0.0;17.9487179
Bergedorf;HH;2001;0.0;7.3170732;39.0243902;0.0;34.1463415;0.0;19.5121951
EimsbÃ¼ttel;HH;2001;0.0;14.634146300000001;39.0243902;0.0;29.268292699999996;0.0;17.073170700000002
Hamburg-Mitte;HH;2001;0.0;12.195122;41.4634146;0.0;21.9512195;0.0;24.3902439
Hamburg-Nord;HH;2001;0.0;14.634146300000001;39.0243902;4.878048799999999;26.8292683;0.0;14.634146300000001
Harburg;HH;2001;0.0;7.3170732;36.5853659;0.0;26.8292683;0.0;29.268292699999996
Wandsbek;HH;2001;0.0;7.3170732;36.5853659;0.0;34.1463415;0.0;21.9512195
