City,State,Date,Linke,Gruene,SPD,FDP,CDU,AfD
Rostock,MV,2024,14.4,11.1,14.1,3.6,16.3,17.5
Schwerin,MV,2024,10.2,6.8,16.8,3.7,19.7,26.0
Neubrandenburg,MV,2024,8.3,5.1,11.9,1.7,21.2,27.6
Neustrelitz,MV,2024,6.2,6.4,18.7,3.3,24.4,24.4
Waren (M�ritz),MV,2024,5.9,4.5,15.8,5.8,22.4,29.2
G�strow,MV,2024,8.6,2.9,19.4,4.5,25.4,27.0
Stralsund,MV,2024,8.9,9.3,7.5,2.9,27.9,22.0
Wismar,MV,2024,9.6,7.6,27.1,4.4,18.6,23.1
Greifswald,MV,2024,9.3,17.0,8.7,2.9,20.6,18.3
Rostock,MV,2019,19.9,19.0,14.4,3.3,14.5,9.6
Schwerin,MV,2019,15.5,12.1,17.2,4.0,17.2,15.1
Neubrandenburg,MV,2019,22.9,11.2,17.6,3.1,21.6,16.6
Neustrelitz,MV,2019,16.7,10.6,19.6,7.2,26.2,13.8
Waren (M�ritz),MV,2019,16.0,10.2,17.4,13.0,22.9,15.3
G�strow,MV,2019,15.4,8.0,17.9,6.3,26.5,13.3
Stralsund,MV,2019,14.5,17.0,8.8,3.9,18.3,14.3
Wismar,MV,2019,15.8,11.3,32.0,6.8,14.7,11.4
Greifswald,MV,2019,15.6,19.2,10.6,4.5,20.1,12.3
Rostock,MV,2014,26.4,11.4,17.0,2.5,20.5,4.4
Schwerin,MV,2014,24.6,7.8,19.5,3.0,24.8,5.9
Neubrandenburg,MV,2014,28.7,6.5,23.0,2.2,27.6,5.2
Neustrelitz,MV,2014,22.0,5.9,22.3,4.1,29.4,3.4
Waren (M�ritz),MV,2014,18.5,4.6,34.2,4.0,27.4,2.6
G�strow,MV,2014,19.8,5.1,22.3,4.0,32.9,3.3
Stralsund,MV,2014,15.5,9.2,14.0,2.0,32.0,5.0
Wismar,MV,2014,17.5,7.5,35.8,5.1,21.0,5.4
Greifswald,MV,2014,18.5,9.9,12.4,3.2,30.7,4.5
Neubrandenburg,MV,2011,23.5,8.0,35.2,3.6,22.9,0
Neustrelitz,MV,2011,21.2,6.6,31.8,3.8,25.6,0
Waren (M�ritz),MV,2011,17.2,7.0,42.5,5.0,21.1,0
G�strow,MV,2011,18.5,6.1,39.6,3.7,23.0,0
Rostock,MV,2011,23.9,9.3,17.5,9.6,33.4,0
Stralsund,MV,2011,18.8,8.4,20.3,2.6,30.7,0
Wismar,MV,2011,17.0,6.9,48.1,4.4,17.4,0
Greifswald,MV,2011,18.1,11.8,19.9,3.5,27.8,0
Schwerin,MV,2011,13.4,16.9,27.6,6.0,31.0,0
Neubrandenburg,MV,2009,23.5,8.0,35.2,3.6,22.9,0
Neustrelitz,MV,2009,21.2,6.6,31.8,3.8,25.6,0
Waren (M�ritz),MV,2009,17.2,7.0,42.5,5.0,21.1,0
G�strow,MV,2009,18.5,6.1,39.6,3.7,23.0,0
Rostock,MV,2009,23.9,9.3,17.5,9.6,33.4,0
Stralsund,MV,2009,18.8,8.4,20.3,2.6,30.7,0
Wismar,MV,2009,17.0,6.9,48.1,4.4,17.4,0
Greifswald,MV,2009,18.1,11.8,19.9,3.5,27.8,0
Schwerin,MV,2009,13.4,16.9,27.6,6.0,31.0,0
Greifswald,MV,2004,21.3,"6,4",18.8,5.5,36.9,0
Neubrandenburg,MV,2004,30.0,"2,9",20.1,5.5,31.6,0
Rostock,MV,2004,24.0,x,21.4,4.9,24.2,0
Schwerin,MV,2004,23.7,10,17.4,6.8,31.1,0
Stralsund,MV,2004,22.3,x,12.8,3.5,29.8,0
Wismar,MV,2004,17.5,"2,5",37.5,11.5,22.6,0
G�strow,MV,2004,20.2,"4,9",24.8,3.4,32.9,0
Neustrelitz,MV,2004,25.3,"4,4",26.5,5.7,35.0,0
Waren (M�ritz),MV,2004,18.2,"3,3",30.9,6.2,28.7,0
Greifswald,MV,1999,23.737055992926493,6.412065770009012,17.42021050483753,2.3141929230926186,46.948700073115575,0.0
Neubrandenburg,MV,1999,34.111458985598,1.451471509079524,21.758296806512213,,34.87288666249218,0.0
Rostock,MV,1999,31.93069306930693,5.879107018982153,27.584557818839205,2.4967942654138024,27.994471421664457,0.0
Schwerin,MV,1999,30.013932196643005,6.145330818587635,22.214745381998085,1.9448209191458712,30.73234070381287,0.0
Stralsund,MV,1999,25.56728552360151,4.074141487683534,20.03245965295474,1.6957893459531608,42.69657808518384,0.0
Wismar,MV,1999,19.494409333981526,2.289108241212403,42.947728857982284,8.095368941683752,26.12711631544461,0.0
Güstrow,MV,1999,21.148099450155392,0.0,31.484580444656945,5.752450394453741,32.06729619890031,0.0
Neustrelitz,MV,1999,25.55482396684612,2.2231689840814903,32.26306208606065,2.7886440218443784,33.79681629807506,0.0
Waren (Müritz),MV,1999,18.81361323155216,3.5265585241730277,32.892016539440206,1.8606870229007633,41.30884223918575,0.0
Greifswald,MV,1994,27.969394322217724,7.138941196100398,15.380306533501775,1.2764283841441615,40.00548232545944,0.0
Neubrandenburg,MV,1994,32.115988116657604,5.396041675383907,23.24365036193983,4.038662705552533,28.34009791204653,0.0
Rostock,MV,1994,33.17919974562884,10.660587015570085,27.282998061772957,2.3042238466196037,18.261616677547348,0.0
Schwerin,MV,1994,34.002313202959954,7.4394259480001415,31.103138166668632,3.697584119153557,15.365686702623597,0.0
Stralsund,MV,1994,25.249797461517687,5.730088716856203,21.54709394785009,2.480471289545014,37.213070483391846,0.0
Wismar,MV,1994,20.012545177574,3.485767197347591,48.83061023328057,4.8224259983870486,19.219510738074614,0.0
Güstrow,MV,1994,23.555989013176227,14.14553560765893,29.04940089964572,3.9827236176903784,26.88388201106644,0.0
Neustrelitz,MV,1994,28.119301135360903,5.491499499970587,36.552150126478026,2.8472263074298487,23.901405965056767,0.0
Waren (Müritz),MV,1994,19.95867521111577,7.261783553931844,28.57998442834042,3.2880158112235733,35.63214948793196,0.0
