Frankfurt am Main;HE;2016;22;22;14;7;;8;8;93
Darmstadt;HE;2016;13;12;21;4;;5;7;71
Wiesbaden;HE;2016;20;21;11;8;;5;11;81
Kassel;HE;2016;15;21;13;4;;0;8;71
Fulda;HE;2016;27;9;7;4;;0;0;59
Marburg;HE;2016;16;18;9;3;;0;0;59
Wetzlar;HE;2016;16;19;5;6;;2;0;59
Gießen;HE;2016;13;16;9;3;;0;8;59
Hanau;HE;2016;12;20;5;4;;0;0;53
Offenbach am Main;HE;2016;17;18;10;7;;6;6;71
Groß-Gerau;HE;2016;10;10;4;2;;0;0;33
Riedstadt;HE;2016;11;14;0;0;;2;0;37
Frankfurt am Main;HE;2011;28;20;24;4;;5;0;93
Darmstadt;HE;2011;18;15;23;2;;3;0;71
Wiesbaden;HE;2011;27;23;16;4;;3;0;81
Kassel;HE;2011;17;26;18;2;;0;0;71
Fulda;HE;2011;30;11;10;2;;0;0;59
Marburg;HE;2011;14;22;13;2;;0;0;59
Wetzlar;HE;2011;17;21;9;5;;2;0;59
Gießen;HE;2011;16;20;12;2;;2;0;59
Hanau;HE;2011;16;22;9;3;;3;0;59
Offenbach am Main;HE;2011;22;19;16;3;;4;0;71
Groß-Gerau;HE;2011;11;11;7;0;;0;0;33
Riedstadt;HE;2011;11;14;0;1;;1;0;37
Frankfurt am Main;HE;2006;34;22;14;6;;0;0;93
Darmstadt;HE;2006;21;21;11;5;;2;0;71
Wiesbaden;HE;2006;29;25;10;7;4;0;0;81
Kassel;HE;2006;21;28;11;4;;0;0;71
Fulda;HE;2006;35;12;5;3;;0;0;59
Marburg;HE;2006;19;20;10;3;;0;0;59
Wetzlar;HE;2006;21;23;5;4;;0;0;59
Gießen;HE;2006;21;20;8;3;—;4;0;59
Hanau;HE;2006;18;17;5;7;4;3;0;59
Offenbach am Main;HE;2006;25;23;8;5;3;4;0;71
Groß-Gerau;HE;2006;8;10;3;0;;0;0;33
Riedstadt;HE;2006;13;16;0;2;;0;0;37
Frankfurt am Main;HE;2001;36;28;13;4;;2;0;93
Darmstadt;HE;2001;24;24;12;5;;0;0;71
Wiesbaden;HE;2001;30;28;8;10;4;0;0;81
Kassel;HE;2001;25;26;12;4;0;0;0;71
Fulda;HE;2001;36;14;4;2;2;0;0;59
Marburg;HE;2001;17;20;10;3;;0;0;59
Wetzlar;HE;2001;21;24;4;4;;0;0;59
Gießen;HE;2001;23;20;6;3;0;2;0;59
Hanau;HE;2001;21;22;5;3;4;0;0;59
Offenbach am Main;HE;2001;23;28;7;5;4;2;0;71
Groß-Gerau;HE;2001;8;14;4;0;;0;0;33
Riedstadt;HE;2001;13;17;0;1;;0;0;37
